t_s,phase,joint,joint_index,command,pass_index,amplitude,direction,target_endpoint_deg,stop_reason,slew_deg,boom_deg,arm_deg,bucket_deg,slew_vel_deg_s,boom_vel_deg_s,arm_vel_deg_s,bucket_vel_deg_s
1.001350,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.988163,-20.118156,86.486267,-42.409149,0.000000,0.000000,0.000000,0.000000
1.022277,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.990772,-20.098936,86.480316,-49.784550,0.124721,0.918758,-0.284704,-352.557587
1.043074,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.994802,-20.110111,86.481544,-50.287827,0.193693,-0.537087,0.059093,-24.189947
1.063816,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.994966,-20.108444,86.480583,-50.959438,0.007902,0.080336,-0.046094,-32.374630
1.084611,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.996592,-20.098936,86.483017,-51.488667,0.078172,0.457208,0.116930,-25.449942
1.105339,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.999160,-20.104620,86.494133,-52.020260,0.123892,-0.274145,0.536428,-25.645075
1.126074,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.997985,-20.099920,86.483757,-52.618244,-0.056656,0.226623,-0.500678,-28.838400
1.146777,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.995253,-20.095181,86.488098,-53.251770,-0.131963,0.228955,0.209821,-30.600164
1.167559,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,6.000103,-20.099566,86.490150,-53.864262,0.233344,-0.210996,0.098596,-29.471725
1.188287,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,6.001509,-20.113541,86.486244,-54.642372,0.067882,-0.674205,-0.188487,-37.539948
1.208989,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.996783,-20.115957,86.495041,-55.293915,-0.228302,-0.116790,0.424931,-31.471304
1.229777,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.996223,-20.116737,86.491653,-55.911503,-0.026942,-0.037457,-0.162969,-29.709013
1.250476,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.997958,-20.108992,86.480637,-56.583893,0.083812,0.374183,-0.531908,-32.483349
1.271204,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.997247,-20.102516,86.478943,-57.263592,-0.034270,0.312385,-0.081721,-32.791851
1.291900,seek_endstop,bucket,3,-1.000000,-1,1.000000,-1,nan,,5.994515,-20.107010,86.475014,-57.908730,-0.132009,-0.217154,-0.190093,-31.171885
