t_s,phase,joint,joint_index,command,pass_index,amplitude,direction,target_endpoint_deg,stop_reason,slew_deg,boom_deg,arm_deg,bucket_deg,slew_vel_deg_s,boom_vel_deg_s,arm_vel_deg_s,bucket_vel_deg_s,segment_id,progress_vel_deg_s,progress_vel_deg_s_med,joint_angle_deg,joint_vel_deg_s,forward_vel_deg_s,rate_per_command,source_segment_id,angle_bin_deg
5.976265,sweep,bucket,3,0.2,0,0.2,1,,,6.136747,-20.096996,86.459167,-113.634628,-0.118745,-0.186694,0.539631,6.586728,1,6.586728,6.586728,-113.634628,6.586728,6.586728,32.93364,1,-114.0
5.996968,sweep,bucket,3,0.2,0,0.2,1,,,6.137252,-20.088528,86.461815,-113.49617,0.024413,0.40908,0.128003,6.687803,1,6.687803,6.328053499999999,-113.49617,6.687803,6.687803,33.439015,1,-114.0
6.017769,sweep,bucket,3,0.2,0,0.2,1,,,6.137307,-20.086082,86.454742,-113.396828,0.002627,0.117559,-0.340197,4.775898,1,4.775898,6.586728,-113.396828,4.775898,4.775898,23.879489999999997,1,-114.0
6.038471,sweep,bucket,3,0.2,0,0.2,1,,,6.139916,-20.119728,86.460175,-113.281334,0.126029,-1.62518,0.262615,5.578927,1,5.578927,6.328053499999999,-113.281334,5.578927,5.578927,27.894635,1,-114.0
6.059176,sweep,bucket,3,0.2,0,0.2,1,,,6.141528,-20.121176,86.470337,-113.142525,0.077851,-0.069934,0.490857,6.703758,1,6.703758,6.586728,-113.142525,6.703758,6.703758,33.518789999999996,1,-114.0
6.07988,sweep,bucket,3,0.2,0,0.2,1,,,6.139438,-20.117775,86.478401,-113.016869,-0.100947,0.164287,0.389274,6.069379,1,6.069379,6.069379,-113.016869,6.069379,6.069379,30.346894999999996,1,-114.0
6.100652,sweep,bucket,3,0.2,0,0.2,1,,,6.140312,-20.113472,86.470093,-112.874718,0.042091,0.207167,-0.399866,6.843754,1,6.843754,5.578927,-112.874718,6.843754,6.843754,34.21877,1,-112.0
6.121353,sweep,bucket,3,0.2,0,0.2,1,,,6.142921,-20.117788,86.479927,-112.776253,0.126033,-0.208515,0.475098,4.756262,1,4.756262,6.069379,-112.776253,4.756262,4.756262,23.78131,1,-112.0
6.142083,sweep,bucket,3,0.2,0,0.2,1,,,6.143126,-20.102434,86.471436,-112.628716,0.009885,0.740691,-0.409884,7.117294,1,7.117294,6.658517,-112.628716,7.117294,7.117294,35.58647,1,-112.0
6.162791,sweep,bucket,3,0.2,0,0.2,1,,,6.143782,-20.09626,86.442963,-112.515663,0.031664,0.298167,-1.374736,5.459366,1,5.459366,6.069379,-112.515663,5.459366,5.459366,27.29683,1,-112.0
6.183504,sweep,bucket,3,0.2,0,0.2,1,,,6.141501,-20.098745,86.454765,-112.422562,-0.110138,-0.12003,0.569814,4.494542,1,4.494542,5.83632,-112.422562,4.494542,4.494542,22.47271,1,-112.0
6.20422,sweep,bucket,3,0.2,0,0.2,1,,,6.141678,-20.110889,86.464989,-112.28463,0.008572,-0.586226,0.493248,6.658517,1,6.658517,5.83632,-112.28463,6.658517,6.658517,33.292584999999995,1,-112.0
6.224893,sweep,bucket,3,0.2,0,0.2,1,,,6.14176,-20.111956,86.465233,-112.135109,0.003965,-0.051542,0.011894,7.2327,1,7.2327,5.83632,-112.135109,7.2327,7.2327,36.1635,1,-112.0
6.245648,sweep,bucket,3,0.2,0,0.2,1,,,6.142307,-20.112064,86.472061,-112.016418,0.026328,-0.005266,0.329095,5.718686,1,5.718686,5.718686,-112.016418,5.718686,5.718686,28.593429999999998,1,-112.0
6.266481,sweep,bucket,3,0.2,0,0.2,1,,,6.143891,-20.121517,86.473045,-111.894829,0.07606,-0.453739,0.04721,5.83632,1,5.83632,5.83632,-111.894829,5.83632,5.83632,29.181599999999996,1,-112.0
6.287224,sweep,bucket,3,0.2,0,0.2,1,,,6.143768,-20.136953,86.497063,-111.757156,-0.005927,-0.744159,1.157727,6.637171,1,6.637171,6.492931,-111.757156,6.637171,6.637171,33.185855,1,-112.0
6.307962,sweep,bucket,3,0.2,0,0.2,1,,,6.141897,-20.132486,86.480202,-111.657326,-0.090244,0.215399,-0.812852,4.813877,1,4.813877,6.178407,-111.657326,4.813877,4.813877,24.069384999999997,1,-112.0
6.328654,sweep,bucket,3,0.2,0,0.2,1,,,6.141528,-20.126204,86.487549,-111.561516,-0.017824,0.303665,0.355156,4.6299,1,4.6299,6.091599,-111.561516,4.6299,4.6299,23.1495,1,-112.0
6.349415,sweep,bucket,3,0.2,0,0.2,1,,,6.144288,-20.152908,86.483864,-111.421471,0.132918,-1.286405,-0.177662,6.745894,1,6.745894,6.091599,-111.421471,6.745894,6.745894,33.72947,1,-112.0
6.370125,sweep,bucket,3,0.2,0,0.2,1,,,6.143659,-20.152908,86.478348,-111.286995,-0.030341,0.0,-0.266471,6.492931,1,6.492931,6.091599,-111.286995,6.492931,6.492931,32.46465499999999,1,-112.0
6.39082,sweep,bucket,3,0.2,0,0.2,1,,,6.144096,-20.15295,86.472198,-111.159134,0.021123,-0.00198,-0.297039,6.178407,1,6.178407,5.859488,-111.159134,6.178407,6.178407,30.892035,1,-112.0
6.41155,sweep,bucket,3,0.2,0,0.2,1,,,6.140859,-20.145424,86.462715,-111.03286,-0.156178,0.363097,-0.457331,6.091599,1,6.091599,5.859488,-111.03286,6.091599,6.091599,30.457995,1,-112.0
6.432238,sweep,bucket,3,0.2,0,0.2,1,,,6.142757,-20.144043,86.481789,-110.914345,0.091778,0.066688,0.921742,5.728538,1,5.728538,6.091599,-110.914345,5.728538,5.728538,28.64269,1,-110.0
6.452976,sweep,bucket,3,0.2,0,0.2,1,,,6.138659,-20.111874,86.459602,-110.826874,-0.197623,1.551339,-1.069798,4.21793,1,4.21793,6.091599,-110.826874,4.21793,4.21793,21.08965,1,-110.0
6.473766,sweep,bucket,3,0.2,0,0.2,1,,,6.141364,-20.137035,86.465179,-110.705063,0.130101,-1.210337,0.268088,5.859488,1,5.859488,6.056976,-110.705063,5.859488,5.859488,29.297439999999998,1,-110.0
