joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,0.4,-1,30.0,29,29.93553,9.634756,24.086889999999997
arm,0.4,-1,32.0,29,31.971951,9.731104,24.327759999999998
arm,0.4,-1,34.0,30,34.0059665,9.819703,24.5492575
arm,0.4,-1,36.0,29,36.010242,9.539634,23.849085
arm,0.4,-1,38.0,31,37.989891,9.600419,24.0010475
arm,0.4,-1,40.0,31,40.040901,9.241035,23.1025875
arm,0.4,-1,42.0,30,41.968177499999996,9.3966665,23.49166625
arm,0.4,-1,44.0,32,43.9743005,8.867991,22.1699775
arm,0.4,-1,46.0,32,46.0013085,9.033115500000001,22.58278875
arm,0.4,-1,48.0,33,47.972801,8.589733,21.4743325
arm,0.4,-1,50.0,34,49.950345999999996,8.902262499999999,22.255656249999998
arm,0.4,-1,52.0,33,51.999035,8.166625,20.416562499999998
arm,0.4,-1,54.0,34,53.934736,8.474345,21.1858625
arm,0.4,-1,56.0,34,56.033804,8.6076605,21.51915125
arm,0.4,-1,58.0,34,57.989149,8.368069,20.9201725
arm,0.4,-1,60.0,34,60.0251065,8.347515000000001,20.8687875
arm,0.4,-1,62.0,34,61.982446499999995,8.3225785,20.80644625
arm,0.4,-1,64.0,34,63.9753725,8.3629325,20.90733125
arm,0.4,-1,66.0,35,66.017151,8.258967,20.6474175
arm,0.4,-1,68.0,34,68.005951,8.642048500000001,21.60512125
arm,0.4,-1,70.0,33,70.014206,8.5741,21.435249999999996
arm,0.4,-1,72.0,34,71.990452,8.2249955,20.56248875
arm,0.4,-1,74.0,34,73.99520849999999,9.1052465,22.763116250000003
arm,0.4,-1,76.0,33,75.993675,8.125421,20.313552499999997
arm,0.4,-1,78.0,34,77.98832300000001,9.0975655,22.743913749999997
arm,0.4,-1,80.0,32,80.03807850000001,8.834896,22.087239999999998
arm,0.4,-1,82.0,32,81.977497,9.0415095,22.60377375
arm,0.4,-1,84.0,31,83.935524,8.968932,22.42233
arm,0.4,-1,86.0,32,85.964523,9.8464785,24.61619625
arm,0.4,-1,88.0,31,88.014153,9.17699,22.942474999999998
arm,0.4,-1,90.0,32,89.99567400000001,10.159939999999999,25.39985
arm,0.4,-1,92.0,29,91.961952,10.109784,25.274459999999998
arm,0.4,-1,94.0,29,94.03614,10.245251,25.613127499999997
arm,0.4,-1,96.0,31,95.949661,10.236094,25.590234999999996
arm,0.4,-1,98.0,28,98.034058,10.653727,26.6343175
arm,0.4,-1,100.0,27,99.934914,11.133271,27.8331775
arm,0.4,-1,102.0,27,101.953453,10.897422,27.243555
arm,0.4,-1,104.0,27,103.974503,10.53324,26.333099999999998
arm,0.4,-1,106.0,26,105.94901250000001,10.7519755,26.879938749999997
arm,0.4,-1,108.0,26,107.9797935,11.5574555,28.893638749999997
arm,0.4,-1,110.0,25,110.079842,11.321194,28.302985
arm,0.4,-1,112.0,24,112.0266115,11.7711745,29.427936250000002
arm,0.4,-1,114.0,23,113.990616,11.539148,28.84787
arm,0.4,-1,116.0,25,116.079674,12.652182,31.630454999999998
arm,0.4,-1,118.0,22,118.13790900000001,12.2190765,30.54769125
arm,0.4,-1,120.0,23,120.00441,12.751598,31.878994999999996
arm,0.4,-1,122.0,20,122.062725,14.45534,36.13835
arm,0.4,-1,124.0,19,124.010071,14.134898,35.337244999999996
arm,0.4,-1,126.0,19,125.963966,15.121768,37.80441999999999
arm,0.4,-1,128.0,19,128.010483,15.346256,38.36564
arm,0.4,-1,130.0,8,129.8476945,13.11807,32.795175
arm,0.4,-1,132.0,2,131.36711150000002,12.940850999999999,32.352127499999995
arm,0.4,1,38.0,5,38.490368,9.561221,23.903052499999998
arm,0.4,1,40.0,30,40.085081,9.2324445,23.08111125
arm,0.4,1,42.0,34,42.0325585,8.583946000000001,21.459865
arm,0.4,1,44.0,36,44.028974500000004,8.246157499999999,20.61539375
arm,0.4,1,46.0,39,46.041851,7.562215,18.905537499999998
arm,0.4,1,48.0,44,48.022648000000004,6.757593,16.8939825
arm,0.4,1,50.0,46,50.005123499999996,6.444352,16.110879999999998
arm,0.4,1,52.0,51,52.075176,5.631479,14.078697499999999
arm,0.4,1,54.0,56,53.9810315,5.0834019999999995,12.708504999999999
arm,0.4,1,56.0,48,55.872446,5.0257095,12.564273749999998
arm,0.4,1,58.0,47,57.904823,4.589379,11.473447499999999
arm,0.4,1,60.0,30,59.8032495,4.4224385,11.05609625
arm,0.4,1,62.0,29,61.943844,4.305171,10.762927499999998
arm,0.4,1,64.0,36,64.112358,4.069953999999999,10.174885
arm,0.4,1,66.0,25,65.962669,4.137353,10.343382499999999
arm,0.4,1,68.0,28,67.79090500000001,4.196421,10.491052499999999
arm,0.4,1,70.0,25,69.967133,4.187169,10.467922499999998
arm,0.4,1,72.0,23,72.035225,4.165372,10.413429999999998
arm,0.4,1,74.0,25,74.059807,3.870829,9.6770725
arm,0.4,1,76.0,23,76.036682,4.349823,10.874557499999998
arm,0.4,1,78.0,24,77.9891585,4.3574470000000005,10.8936175
arm,0.4,1,80.0,24,80.00373450000001,4.3253330000000005,10.8133325
arm,0.4,1,82.0,24,82.0024565,3.9096275,9.77406875
arm,0.4,1,84.0,27,84.059258,3.871418,9.678545
arm,0.4,1,86.0,24,86.015026,4.1409579999999995,10.352394999999998
arm,0.4,1,88.0,25,87.997513,3.944347,9.8608675
